product_id,date,nav,daily_return_pct
INV-연금-0001,2024-01-02,1300.87,5.315
INV-연금-0001,2024-01-04,1315.82,-0.178
INV-연금-0001,2024-01-08,1310.26,-0.857
INV-연금-0001,2024-01-10,1394.6,2.711
INV-연금-0001,2024-01-12,1431.8,2.709
INV-연금-0001,2024-01-16,1352.97,-2.268
INV-연금-0001,2024-01-18,1331.91,-0.707
INV-연금-0001,2024-01-22,1379.47,2.63
INV-연금-0001,2024-01-24,1414.12,-1.26
INV-연금-0001,2024-01-26,1405.36,-2.766
INV-연금-0001,2024-01-30,1360.78,-1.706
INV-연금-0001,2024-02-01,1431.08,1.991
INV-연금-0001,2024-02-05,1415.73,2.461
INV-연금-0001,2024-02-07,1392.5,0.618
INV-연금-0001,2024-02-09,1389.22,0.441
INV-연금-0001,2024-02-13,1457.64,0.508
INV-연금-0001,2024-02-15,1394.04,-2.88
INV-연금-0001,2024-02-19,1341.52,-3.194
INV-연금-0001,2024-02-21,1291.3,-3.279
INV-연금-0001,2024-02-23,1281.14,3.486
INV-연금-0001,2024-02-27,1259.2,-1.335
INV-연금-0001,2024-02-29,1238.19,-2.768
INV-연금-0001,2024-03-04,1207.62,-0.802
INV-연금-0001,2024-03-06,1243.95,1.716
INV-연금-0001,2024-03-08,1260.66,1.947
INV-연금-0001,2024-03-12,1219.93,-2.546
INV-연금-0001,2024-03-14,1215.8,2.143
INV-연금-0001,2024-03-18,1179.16,-1.43
INV-연금-0001,2024-03-20,1179.9,1.845
INV-연금-0001,2024-03-22,1118.57,-3.422
INV-연금-0001,2024-03-26,1111.5,-2.388
INV-연금-0001,2024-03-28,1047.89,-1.983
INV-연금-0001,2024-04-01,1030.24,-0.34
INV-연금-0001,2024-04-03,1056.43,3.531
INV-연금-0001,2024-04-05,1061.0,-0.19
INV-연금-0001,2024-04-09,1085.79,1.959
INV-연금-0001,2024-04-11,1112.87,1.002
INV-연금-0001,2024-04-15,1048.41,-4.17
INV-연금-0001,2024-04-17,1026.66,-3.076
INV-연금-0001,2024-04-19,1059.28,-0.931
INV-연금-0001,2024-04-23,1061.95,-1.495
INV-연금-0001,2024-04-25,1072.69,-0.405
INV-연금-0001,2024-04-29,1107.84,4.032
INV-연금-0001,2024-05-01,1047.39,-0.719
INV-연금-0001,2024-05-03,1051.29,-0.264
INV-연금-0001,2024-05-07,1020.48,1.716
INV-연금-0001,2024-05-09,975.17,-2.723
INV-연금-0001,2024-05-13,986.94,0.626
INV-연금-0001,2024-05-15,1007.82,2.412
INV-연금-0001,2024-05-17,1030.73,-1.62
INV-연금-0001,2024-05-21,1046.83,-0.625
INV-연금-0001,2024-05-23,1094.26,3.886
INV-연금-0001,2024-05-27,1101.96,-1.04
INV-연금-0001,2024-05-29,1142.98,1.43
INV-연금-0001,2024-05-31,1154.16,2.406
INV-연금-0001,2024-06-04,1138.46,-0.687
INV-연금-0001,2024-06-06,1139.88,0.12
INV-연금-0001,2024-06-10,1109.98,-3.172
INV-연금-0001,2024-06-12,1096.24,-2.325
INV-연금-0001,2024-06-14,1137.05,2.659
INV-연금-0001,2024-06-18,1149.26,6.006
INV-연금-0001,2024-06-20,1161.06,-0.174
INV-연금-0001,2024-06-24,1199.91,0.005
INV-연금-0001,2024-06-26,1210.49,0.429
INV-연금-0001,2024-06-28,1172.37,-2.757
INV-연금-0001,2024-07-02,1164.36,1.833
INV-연금-0001,2024-07-04,1225.81,2.77
INV-연금-0001,2024-07-08,1221.88,-2.13
INV-연금-0001,2024-07-10,1175.17,1.113
INV-연금-0001,2024-07-12,1162.11,-0.241
INV-연금-0001,2024-07-16,1161.1,1.455
INV-연금-0001,2024-07-18,1130.05,-0.348
